Date,Close,Date,Close,Date,Close,Date,Close,Date,Close
5/7/2015 16:00:00,99.66,5/7/2015 16:00:00,51.24,5/7/2015 16:00:00,87.6,5/7/2015 16:00:00,7.84,5/7/2015 16:00:00,86
5/8/2015 16:00:00,101.47,5/8/2015 16:00:00,52.17,5/8/2015 16:00:00,88.99,5/8/2015 16:00:00,7.63,5/8/2015 16:00:00,87.06
5/11/2015 16:00:00,101.03,5/11/2015 16:00:00,51.34,5/11/2015 16:00:00,86.78,5/11/2015 16:00:00,7.66,5/11/2015 16:00:00,86.72
5/12/2015 16:00:00,100.47,5/12/2015 16:00:00,51.15,5/12/2015 16:00:00,87.02,5/12/2015 16:00:00,7.37,5/12/2015 16:00:00,86.77
5/13/2015 16:00:00,100.55,5/13/2015 16:00:00,51,5/13/2015 16:00:00,86.56,5/13/2015 16:00:00,7.12,5/13/2015 16:00:00,87.53
5/14/2015 16:00:00,101.83,5/14/2015 16:00:00,52.6,5/14/2015 16:00:00,86.97,5/14/2015 16:00:00,7.13,5/14/2015 16:00:00,88.4
5/15/2015 16:00:00,102.3,5/15/2015 16:00:00,52.82,5/15/2015 16:00:00,87.35,5/15/2015 16:00:00,7.12,5/15/2015 16:00:00,88.46
5/18/2015 16:00:00,103.42,5/18/2015 16:00:00,51.95,5/18/2015 16:00:00,86.85,5/18/2015 16:00:00,6.68,5/18/2015 16:00:00,87.11
5/19/2015 16:00:00,103.96,5/19/2015 16:00:00,51.78,5/19/2015 16:00:00,86.99,5/19/2015 16:00:00,6.61,5/19/2015 16:00:00,88.21
5/20/2015 16:00:00,103.6,5/20/2015 16:00:00,51.8,5/20/2015 16:00:00,87.13,5/20/2015 16:00:00,6.61,5/20/2015 16:00:00,90.7
5/21/2015 16:00:00,102.42,5/21/2015 16:00:00,51.64,5/21/2015 16:00:00,87.21,5/21/2015 16:00:00,6.65,5/21/2015 16:00:00,93.88
5/22/2015 16:00:00,101.35,5/22/2015 16:00:00,51.23,5/22/2015 16:00:00,86.52,5/22/2015 16:00:00,6.57,5/22/2015 16:00:00,93.27
5/26/2015 16:00:00,100.82,5/26/2015 16:00:00,51.28,5/26/2015 16:00:00,85.35,5/26/2015 16:00:00,6.54,5/26/2015 16:00:00,92.52
5/27/2015 16:00:00,101.13,5/27/2015 16:00:00,51.83,5/27/2015 16:00:00,85.11,5/27/2015 16:00:00,6.64,5/27/2015 16:00:00,92.6
5/28/2015 16:00:00,101.15,5/28/2015 16:00:00,51.62,5/28/2015 16:00:00,85.11,5/28/2015 16:00:00,6.5,5/28/2015 16:00:00,90.95
5/29/2015 16:00:00,100.14,5/29/2015 16:00:00,51.2,5/29/2015 16:00:00,85.2,5/29/2015 16:00:00,6.3,5/29/2015 16:00:00,89.32
6/1/2015 16:00:00,100.04,6/1/2015 16:00:00,51.2,6/1/2015 16:00:00,85.13,6/1/2015 16:00:00,6.29,6/1/2015 16:00:00,90.78
6/2/2015 16:00:00,99.98,6/2/2015 16:00:00,50.63,6/2/2015 16:00:00,85.14,6/2/2015 16:00:00,6.81,6/2/2015 16:00:00,90.51
6/3/2015 16:00:00,100.09,6/3/2015 16:00:00,50.35,6/3/2015 16:00:00,84.95,6/3/2015 16:00:00,6.66,6/3/2015 16:00:00,90.79
6/4/2015 16:00:00,99.23,6/4/2015 16:00:00,49.88,6/4/2015 16:00:00,84.22,6/4/2015 16:00:00,6.48,6/4/2015 16:00:00,90.59
6/5/2015 16:00:00,98.59,6/5/2015 16:00:00,48.21,6/5/2015 16:00:00,84.28,6/5/2015 16:00:00,6.51,6/5/2015 16:00:00,90.71
6/8/2015 16:00:00,97.96,6/8/2015 16:00:00,48.32,6/8/2015 16:00:00,84.85,6/8/2015 16:00:00,6.47,6/8/2015 16:00:00,88.29
6/9/2015 16:00:00,98.21,6/9/2015 16:00:00,48.56,6/9/2015 16:00:00,84.58,6/9/2015 16:00:00,6.43,6/9/2015 16:00:00,87.58
6/10/2015 16:00:00,98.88,6/10/2015 16:00:00,49.22,6/10/2015 16:00:00,85.21,6/10/2015 16:00:00,6.77,6/10/2015 16:00:00,88.9
6/11/2015 16:00:00,99.24,6/11/2015 16:00:00,48.33,6/11/2015 16:00:00,85.09,6/11/2015 16:00:00,6.86,6/11/2015 16:00:00,87.21
6/12/2015 16:00:00,98.35,6/12/2015 16:00:00,48.04,6/12/2015 16:00:00,84.02,6/12/2015 16:00:00,6.81,6/12/2015 16:00:00,86.63
6/15/2015 16:00:00,97.49,6/15/2015 16:00:00,47.54,6/15/2015 16:00:00,83.72,6/15/2015 16:00:00,6.47,6/15/2015 16:00:00,86.12
6/16/2015 16:00:00,98.36,6/16/2015 16:00:00,48.02,6/16/2015 16:00:00,84.68,6/16/2015 16:00:00,6.37,6/16/2015 16:00:00,86.09
6/17/2015 16:00:00,98.73,6/17/2015 16:00:00,48.56,6/17/2015 16:00:00,84.73,6/17/2015 16:00:00,6.38,6/17/2015 16:00:00,86.8
6/18/2015 16:00:00,100.36,6/18/2015 16:00:00,49.46,6/18/2015 16:00:00,85.48,6/18/2015 16:00:00,6.68,6/18/2015 16:00:00,86.75
6/19/2015 16:00:00,99.86,6/19/2015 16:00:00,49.32,6/19/2015 16:00:00,85.21,6/19/2015 16:00:00,6.51,6/19/2015 16:00:00,85.74
6/22/2015 16:00:00,100.09,6/22/2015 16:00:00,49.79,6/22/2015 16:00:00,85.17,6/22/2015 16:00:00,6.39,6/22/2015 16:00:00,85.68
6/23/2015 16:00:00,99.78,6/23/2015 16:00:00,49.08,6/23/2015 16:00:00,85.07,6/23/2015 16:00:00,6.44,6/23/2015 16:00:00,85.08
6/24/2015 16:00:00,99.33,6/24/2015 16:00:00,48.97,6/24/2015 16:00:00,84.68,6/24/2015 16:00:00,6.4,6/24/2015 16:00:00,85.17
6/25/2015 16:00:00,99.12,6/25/2015 16:00:00,49.16,6/25/2015 16:00:00,83.93,6/25/2015 16:00:00,6.16,6/25/2015 16:00:00,85.24
6/26/2015 16:00:00,99.64,6/26/2015 16:00:00,49.48,6/26/2015 16:00:00,83.86,6/26/2015 16:00:00,6.23,6/26/2015 16:00:00,83.28
6/29/2015 16:00:00,97.68,6/29/2015 16:00:00,48.67,6/29/2015 16:00:00,82.82,6/29/2015 16:00:00,6.12,6/29/2015 16:00:00,81.07
6/30/2015 16:00:00,97.46,6/30/2015 16:00:00,48.91,6/30/2015 16:00:00,83.2,6/30/2015 16:00:00,5.89,6/30/2015 16:00:00,82.27
7/1/2015 16:00:00,98.47,7/1/2015 16:00:00,49.1,7/1/2015 16:00:00,82.37,7/1/2015 16:00:00,5.76,7/1/2015 16:00:00,82.46
7/2/2015 16:00:00,98.44,7/2/2015 16:00:00,48.99,7/2/2015 16:00:00,83.14,7/2/2015 16:00:00,5.85,7/2/2015 16:00:00,82.07
7/6/2015 16:00:00,98.2,7/6/2015 16:00:00,49.87,7/6/2015 16:00:00,82.53,7/6/2015 16:00:00,5.61,7/6/2015 16:00:00,80.23
7/7/2015 16:00:00,98.92,7/7/2015 16:00:00,51.68,7/7/2015 16:00:00,82.87,7/7/2015 16:00:00,5.62,7/7/2015 16:00:00,79.62
7/8/2015 16:00:00,97.77,7/8/2015 16:00:00,51.03,7/8/2015 16:00:00,81.97,7/8/2015 16:00:00,5.32,7/8/2015 16:00:00,77.94
7/9/2015 16:00:00,98.4,7/9/2015 16:00:00,50.95,7/9/2015 16:00:00,81.6,7/9/2015 16:00:00,5.42,7/9/2015 16:00:00,79.04
7/10/2015 16:00:00,99.53,7/10/2015 16:00:00,51.31,7/10/2015 16:00:00,82.22,7/10/2015 16:00:00,5.43,7/10/2015 16:00:00,80.3
7/13/2015 16:00:00,100.27,7/13/2015 16:00:00,51.33,7/13/2015 16:00:00,82.42,7/13/2015 16:00:00,5.9,7/13/2015 16:00:00,81.86
7/14/2015 16:00:00,99.78,7/14/2015 16:00:00,51.35,7/14/2015 16:00:00,83.11,7/14/2015 16:00:00,5.7,7/14/2015 16:00:00,81.5
7/15/2015 16:00:00,100.42,7/15/2015 16:00:00,51.23,7/15/2015 16:00:00,82.76,7/15/2015 16:00:00,5.48,7/15/2015 16:00:00,80.73
7/16/2015 16:00:00,101.11,7/16/2015 16:00:00,52.91,7/16/2015 16:00:00,82.91,7/16/2015 16:00:00,5.58,7/16/2015 16:00:00,81.53
7/17/2015 16:00:00,100.08,7/17/2015 16:00:00,53.22,7/17/2015 16:00:00,82.61,7/17/2015 16:00:00,5.46,7/17/2015 16:00:00,83.36
7/20/2015 16:00:00,100.37,7/20/2015 16:00:00,53.71,7/20/2015 16:00:00,81.76,7/20/2015 16:00:00,5.41,7/20/2015 16:00:00,82.67
7/21/2015 16:00:00,100.34,7/21/2015 16:00:00,53.55,7/21/2015 16:00:00,81.66,7/21/2015 16:00:00,5.55,7/21/2015 16:00:00,82.54
